1 input_2_1 AGM6 Test Case.asc  ' AGM6 ' Feb 17 2025 12:34:49
  0  0 69
time,lconv,vmach,pdynmc,VAEL1,VAEL2,VAEL3,psiblx,thtblx,phiblx,alppx,phipx,alphax,betax,ppx,qqx,rrx,SBEL1,SBEL2,SBEL3,dvbe,hbe,psivlx,thtvlx,anx,ayx,vmass,thrust,fmasse,stmarg,realq1,realq2,wnq,zetq,gavail,gmax,trcond,epy,epz,thtpb,psipb,ththb,phihb,sigdpy,sigdpz,ancomx,alcomx,all,ann,psiobcx,thtobcx,wacl,phicomx,dpcx,dqcx,drcx,qqcomx,rrcomx,dpx,dqx,drx,miss,MISS_P1,MISS_P2,MISS_P3,dbt,psiplx,thtplx,critmax,
0,0,0.93385,24896.4,-0.00129615,0.0123321,0.00625939,0,-0,0,0.00270436,-90,0,-0.00241151,4.22873e-25,-9.78286e-22,-9.02678e-06,0.1465,6.03125e-10,-7000,292.999,7000,2.35881e-07,-0.000958015,1.84264e-20,0.000241507,1360,0,0,0.527549,0,0,2.69013,0.0495612,2.23911,2.23935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-0.000167471,0.00745319,-0.00531642,0,0,0,0,0,0,0,0,0,35165.3,0,0,100,
0.1,0,0.934266,24918.8,-0.250109,2.14323,0.0885739,-0.0125893,-0.00721908,0,0.481018,-67.8124,0.181068,-0.44396,0.00123236,-0.241122,-0.436801,29.4401,0.000904781,-6999.95,292.873,6999.95,0.00530331,-0.190081,0.0236262,0.0492761,1360,0,0,0.530839,0,0,2.71964,0.0495479,2.19873,2.24169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-0.000213156,0.1584,0.345838,0,0,-0.000170841,0.156473,0.328363,0,0,0,0,35137.7,0,0,100,
0.2,0,0.93466,24940.3,-0.474845,4.28966,0.0820743,-0.105326,-0.0568768,0,0.817298,-67.1979,0.316998,-0.753985,0.0145857,-0.749765,-1.4161,58.7209,0.00679509,-6999.81,292.751,6999.81,0.0184534,-0.375581,0.0349818,0.0725798,1360,0,0,0.532669,0,0,2.73652,0.0495447,2.17086,2.24393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-0.000814585,0.031378,0.123862,0,0,-0.000635207,0.0634084,0.184265,0,0,0,0,35110,0,0,100,
0.3,0,0.935026,24960.6,-0.677493,6.24747,0.0692801,-0.282504,-0.150754,0,1.01942,-66.5165,0.407084,-0.936876,0.0310779,-1.11524,-2.0955,87.989,0.0201734,-6999.57,292.631,6999.57,0.0342374,-0.559846,0.0411659,0.0831111,1360,0,0,0.534387,0,0,2.7487,0.0495179,2.15482,2.24605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-0.00175236,-0.0515685,-0.0309003,0,0,-0.0015357,-0.0379264,-0.00584736,0,0,0,0,35082.4,0,0,100,
0.4,0,0.93536,24979.5,-0.858401,8.08006,0.0297967,-0.517374,-0.276772,0,1.12108,-65.6412,0.463908,-1.02452,0.0400703,-1.40111,-2.58637,117.244,0.042008,-6999.23,292.515,6999.23,0.051438,-0.743292,0.0452172,0.0879433,1360,0,0,0.53855,0,0,2.76768,0.0493825,2.14761,2.24801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-0.0026197,-0.101156,-0.121528,0,0,-0.00244764,-0.0918213,-0.104483,0,0,0,0,35054.7,0,0,100,
0.5,0,0.935662,24997,-1.01066,9.99775,-0.132652,-0.794482,-0.428538,0.00854186,1.14567,-64.5173,0.494278,-1.03696,0.037326,-1.63204,-2.9422,146.487,0.0727486,-6998.81,292.402,6998.81,0.0690114,-0.926316,0.0471078,0.0873599,1360,0,0,0.539611,0,0,2.77314,0.0493534,2.14713,2.24982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-0.00316905,-0.130726,-0.176198,0,0,-0.00308009,-0.125295,-0.166025,0,0,0,0,35027.1,0,0,100,
0.6,0,0.935929,25013,-1.15315,11.5364,-0.200003,-1.1016,-0.601145,0.0156584,1.10845,-63.0591,0.503454,-0.990497,0.0233986,-1.81876,-3.18606,175.717,0.112341,-6998.29,292.293,6998.29,0.086057,-1.10927,0.0471146,0.0822736,1360,0,0,0.538292,0,0,2.76817,0.0494045,2.15205,2.25147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-0.00331338,-0.147737,-0.20951,0,0,-0.00331571,-0.144467,-0.202967,0,0,0,0,34999.4,0,0,100,
0.7,0,0.936162,25027.4,-1.2994,12.5706,-0.0774786,-1.42799,-0.790315,0.0215037,1.02014,-61.1273,0.496051,-0.899524,0.00122272,-1.96224,-3.32432,204.935,0.160307,-6997.68,292.187,6997.68,0.101782,-1.29251,0.0452949,0.0732734,1360,0,0,0.534871,0,0,2.75401,0.0495278,2.16139,2.25295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-0.00307084,-0.155865,-0.228334,0,0,-0.00315519,-0.155343,-0.226228,0,0,0,0,34971.7,0,0,100,
0.8,0,0.936363,25040.5,-1.41814,13.7832,-0.115451,-1.76325,-0.991656,0.0259316,0.903799,-58.4891,0.476743,-0.777585,-0.0248036,-2.0632,-3.36371,234.14,0.2158,-6996.97,292.084,6996.97,0.115618,-1.47628,0.0425445,0.0623128,1360,0,0,0.533736,0,0,2.74775,0.0495598,2.17312,2.25428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-0.00254412,-0.155208,-0.233126,0,0,-0.00267871,-0.156151,-0.233337,0,0,0,0,34944.1,0,0,100,
0.9,0,0.936533,25052.2,-1.52842,14.8248,-0.124552,-2.09827,-1.2012,0.0288421,0.76879,-54.7567,0.449666,-0.63639,-0.0503822,-2.1269,-3.32015,263.332,0.277778,-6996.17,291.985,6996.17,0.127292,-1.66074,0.0390092,0.0500752,1360,0,0,0.533228,0,0,2.74319,0.0495634,2.18639,2.25547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-0.00187388,-0.146249,-0.224548,0,0,-0.00202991,-0.148699,-0.227154,0,0,0,0,34916.4,0,0,100,
