1 input_2_1 AGM6 Test Case.asc  Feb 17 2025 12:34:45
  0  0 53
time,vmach_m1,psiblx_m1,thtblx_m1,phiblx_m1,SBEL1_m1,SBEL2_m1,SBEL3_m1,VBEL1_m1,VBEL2_m1,VBEL3_m1,mseek_m1,mach_t1,SAEL1_t1,SAEL2_t1,SAEL3_t1,VAEL1_t1,VAEL2_t1,VAEL3_t1,psivlx_t1,thtvlx_t1,alt_t1,aax_t1,alx_t1,anx_t1,mach_a1,SAEL1_a1,SAEL2_a1,SAEL3_a1,VAEL1_a1,VAEL2_a1,VAEL3_a1,psivlx_a1,thtvlx_a1,alt_a1,STCEL11_a1,STCEL12_a1,STCEL13_a1,VTCEL11_a1,VTCEL12_a1,VTCEL13_a1,STCEL21_a1,STCEL22_a1,STCEL23_a1,VTCEL21_a1,VTCEL22_a1,VTCEL23_a1,STCEL31_a1,STCEL32_a1,STCEL33_a1,VTCEL31_a1,VTCEL32_a1,VTCEL33_a1,
0,0,0,0,0,0,0,-7000,293,0,0,0,0,33000,10000,-100,4.36049e-14,-5,-0,-90,0,0,0,0,0,0,0,0,-7000,293,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0.93385,0,-0,0,0.1465,6.03125e-10,-7000,292.999,1.20625e-06,0.0048991,0,0.0147098,33000,10000,-100,4.90972e-05,-5,0,-89.9994,-0,100,0,0.01,1,0.938183,0.293,0,-7000,293,0,0.0048991,0,-0.000958013,7000,33004.3,9993.51,-104.645,0.814051,-4.83903,0.1051,0,0,0,0,0,0,0,0,0,0,0,0,
1,0.936674,-2.42575,-1.41556,0.0303413,292.512,0.345091,-6995.28,291.736,0.695807,9.40253,0,0.0147098,33000,9995,-100,0.0982372,-4.99904,0,-88.8742,-0,100,0,0.01,1,0.938446,293.313,0,-6997.21,293.062,0,4.23999,0,-0.82889,6997.21,33027,9969.32,-188.316,-0.119211,-4.70573,-0.121351,0,0,0,0,0,0,0,0,0,0,0,0,
2,0.936909,-4.51561,-3.62987,0.0220825,583.608,1.07581,-6981.12,290.448,0.647002,18.9496,0,0.0147098,33000.2,9990,-100,0.196387,-4.99615,0,-87.749,-0,100,0,0.01,1,0.938882,586.445,0,-6992.6,293.208,0,4.81285,0,-0.940396,6992.6,33027,9969.32,-188.316,-0.119211,-4.70573,-0.121351,0,0,0,0,0,0,0,0,0,0,0,0,
3,0.936235,-4.81928,-5.62526,0,873.399,1.58164,-6957.32,289.136,0.394286,28.6511,0,0.0147098,33000.4,9985,-100,0.294462,-4.99133,0,-86.6238,-0,100,0,0.01,1,0.939341,879.733,0,-6987.73,293.369,0,4.8924,0,-0.95541,6987.73,32972.1,10044.1,-45.1848,0.358264,-5.54654,0.0889918,0,0,0,0,0,0,0,0,0,0,0,0,
4,0.960183,-3.671,2.21026,-0.289551,1165.95,1.72455,-6924.26,295.956,0.200139,35.4626,2,0.0147098,33000.8,9980.02,-100,0.392423,-4.98458,0,-85.4985,-0,100,0,0.01,1,0.939803,1173.18,0,-6982.83,293.532,0,4.90548,0,-0.957431,6982.83,32975.6,10054.2,-90.0622,-0.11221,-4.68368,0.305546,0,0,0,0,0,0,0,0,0,0,0,0,
5,0.975024,-3.24094,7.65401,-1.32953,1464.72,2.46429,-6890.15,301.243,1.37296,31.7239,2,0.0147098,33001.2,9975.04,-100,0.490232,-4.97592,0,-84.3733,-0,100,0,0.01,1,0.940266,1466.8,0,-6977.92,293.696,0,4.90961,0,-0.957703,6977.92,32999.1,9957.25,-61.0879,0.707089,-5.12897,-0.716878,0,0,0,0,0,0,0,0,0,0,0,0,
6,0.98584,-2.80029,8.34126,-1.53773,1768.08,4.54411,-6861.48,305.429,2.82947,25.6539,2,0.0147098,33001.8,9970.06,-100,0.587853,-4.96533,0,-83.2481,-0,100,0,0.01,1,0.940729,1760.58,0,-6973.01,293.86,0,4.91254,0,-0.95774,6973.01,32992.9,9984.43,-75.9092,1.23064,-5.57022,-0.403176,0,0,0,0,0,0,0,0,0,0,0,0,
7,0.996748,-2.2735,8.40579,-1.57545,2075.54,8.24019,-6838.62,309.474,4.60322,20.2075,2,0.0147098,33002.4,9965.11,-100,0.685247,-4.95283,0,-82.1229,-0,100,0,0.01,1,0.941191,2054.52,0,-6968.1,294.024,0,4.9153,0,-0.957745,6968.1,32999.6,9961.34,-75.2202,0.59102,-5.15798,-0.575758,0,0,0,0,0,0,0,0,0,0,0,0,
8,1.0081,-1.85417,8.45213,-1.39159,2387.02,13.7871,-6820.78,313.495,6.50216,15.5777,2,0.0147098,33003.1,9960.16,-100,0.782377,-4.93842,0,-80.9977,-0,100,0,0.01,1,0.941654,2348.62,0,-6963.18,294.187,0,4.91804,0,-0.957746,6963.18,32999.2,9966.85,-85.9241,0.520667,-5.63767,-1.00723,0,0,0,0,0,0,0,0,0,0,0,0,
