1 input_climb.asc HYPER3 Two-phased climb  ' HYPER3 ' Dec 31 2024 09:11:24
  0  0 23
time,FSPV1,FSPV2,FSPV3,pdynmc,mach,lonx,latx,alt,dvbe,psivgx,thtvgx,SBEG1,SBEG2,SBEG3,VBEG1,VBEG2,VBEG3,throttle,mass,thrust,fmassr,cl_ov_cd,
0,-3.82922,0,-20.9241,28410,0.760854,-80.5499,28.43,3000,249.981,90.0001,0.0128923,-1.84277e-06,2.4999,-0.000281245,-0.000368554,249.981,-0.0562489,0.2,136077,239241,81645.9,3.71528,
0.2,-3.77976,0,-20.7967,28239.4,0.758577,-80.5494,28.43,3000.23,249.212,90.0018,0.523481,-0.000811264,52.4186,-0.234143,-0.00771887,249.202,-2.27689,0.2,136073,240004,81642.3,3.72157,
0.4,-3.72875,0,-20.6643,28062.2,0.756224,-80.5489,28.43,3000.91,248.437,90.0035,1.02963,-0.0030866,102.179,-0.908816,-0.0150273,248.397,-4.46427,0.2,136070,240770,81638.7,3.72808,
0.6,-3.67748,0,-20.5302,27882.6,0.753853,-80.5484,28.43,3002.02,247.654,90.0052,1.53127,-0.00681926,151.776,-2.0176,-0.0222918,247.566,-6.61794,0.2,136066,241521,81635,3.73466,
0.8,-3.62598,0,-20.3946,27701,0.751465,-80.5479,28.43,3003.55,246.865,90.0069,2.02835,-0.0120003,201.204,-3.55372,-0.0295104,246.71,-8.73755,0.2,136062,242256,81631.4,3.74131,
1,-3.57428,0,-20.2575,27517.2,0.749061,-80.5474,28.43,3005.51,246.069,90.0085,2.52082,-0.0186202,250.458,-5.51032,-0.0366812,245.831,-10.8227,0.2,136059,242974,81627.7,3.74802,
1.2,-3.5224,0,-20.1189,27331.6,0.746641,-80.5469,28.43,3007.88,245.267,90.0102,3.00863,-0.0266694,299.535,-7.88049,-0.0438024,244.929,-12.8732,0.2,136055,243676,81624,3.7548,
1.4,-3.47038,0,-19.9791,27144,0.744206,-80.5464,28.43,3010.66,244.458,90.0119,3.49172,-0.0361378,348.428,-10.6572,-0.0508724,244.004,-14.8886,0.2,136051,244361,81620.3,3.76164,
1.6,-3.41825,0,-19.838,26954.8,0.741756,-80.5459,28.43,3013.83,243.644,90.0136,3.97005,-0.0470149,397.135,-13.8336,-0.0578896,243.059,-16.8687,0.2,136048,245028,81616.7,3.76853,
1.8,-3.36602,0,-19.6957,26763.9,0.739292,-80.5454,28.43,3017.4,242.823,90.0153,4.44356,-0.05929,445.65,-17.4023,-0.0648525,242.093,-18.8132,0.2,136044,245678,81612.9,3.77549,
2,-3.31372,0,-19.5523,26571.4,0.736813,-80.5449,28.43,3021.36,241.997,90.0171,4.91222,-0.0729522,493.971,-21.3565,-0.0717597,241.108,-20.7221,0.2,136040,246310,81609.2,3.78251,
2.2,-3.26139,0,-19.4079,26377.5,0.734322,-80.5444,28.43,3025.69,241.166,90.0188,5.37597,-0.0879901,542.093,-25.6888,-0.0786099,240.105,-22.595,0.2,136037,246924,81605.5,3.78959,
2.4,-3.20903,0,-19.2625,26182.3,0.731817,-80.5439,28.43,3030.39,240.329,90.0205,5.83477,-0.104392,590.012,-30.3921,-0.0854019,239.084,-24.4319,0.2,136033,247521,81601.8,3.79673,
2.6,-3.15668,0,-19.1162,25985.8,0.7293,-80.5434,28.43,3035.46,239.488,90.0222,6.28858,-0.122147,637.725,-35.4591,-0.0921347,238.046,-26.2325,0.2,136029,248099,81598,3.80392,
2.8,-3.10437,0,-18.9691,25788.1,0.72677,-80.543,28.43,3040.88,238.641,90.0239,6.73735,-0.141242,685.229,-40.8827,-0.0988072,236.993,-27.9969,0.2,136025,248659,81594.3,3.81117,
