1 input_arc.asc Arc-guidance, three waypoints ' Hypersonic Vehicle ' Jan 23 2025 14:46:05
  0  0 98
time,vmach,pdynmc,psibd,psibdx,thtbdx,phibdx,alppx,alphax,betax,alphaix,betaix,ppx,qqx,rrx,lonx,latx,alt,dvbe,dvbi,psivdx,thtvdx,dbi,ayx,anx,throttle,vmass,fmassr,thrustx,roll_count,pitch_count,yaw_count,stmarg,gavail_pos,gmax,gavail_neg,gminx,wnp,azabx,elabx,dab,ddab,semi_major,semi_minor,eaz,eel,edab,eddab,RICI1,RICI2,RICI3,ESBI1,ESBI2,ESBI3,aycomx,azcomx,tgoc,SBTHC1,SBTHC2,SBTHC3,UTBC1,UTBC2,UTBC3,lamd,SBTL1,SBTL2,SBTL3,delacx,delecx,delrcx,alcomx,ancomx,phicomx,delax,delex,delrx,elvlx,elvrx,miss,MISS_I1,MISS_I2,MISS_I3,event,dbt,MISS_H1,MISS_H2,MISS_H3,MISS_L1,MISS_L2,MISS_L3,SXH1,SXH2,SXH3,std_pos,std_ucbias,URIC1,URIC2,URIC3,
0,3.33855,206755,0.523599,30,2.99999,1.48615e-05,2.99999,2.99999,1.19822e-05,2.99999,15.5237,-1.64402e-06,-0.00981967,1.54011e-06,45.0001,35.0001,10000,999.795,1235.9,30.0001,0.00160031,6.38118e+06,-7.56501e-06,1.73554,0.05,136077,81645.9,42.8808,0,0,0,0.0403087,1.48279,3,-3.51721,-2,2.7548,0,0,0,0,0,0,0,0,0,0,-0.00104753,0.000150256,-0.000635004,9.68838,-4.33089,5.09856,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00138298,-4.94017,-0.0237483,0,0.843781,0,0,0,0,0,0,0,0,0,0,25002,6.38118e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.2,3.31208,203486,0.523615,30.001,2.89265,-0.00260677,3.25344,2.81446,0.000274947,2.82779,15.6224,-0.0125337,-1.4951,0.00282316,45.0012,35.0016,10000.1,991.669,1228.07,30.0014,0.0819661,6.38118e+06,0.000141486,1.82958,0.05,136074,81643.1,41.979,0,0,0,0.0404577,1.37148,3,-3.62852,-2,2.74059,0,0,0,0,0,0,0,0,0,0,-0.00104761,0.000150496,-0.000634755,9.6905,-4.32439,5.0966,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00500603,19.5301,0.00554013,0,0.771158,0,0.00617025,19.8325,0.00532097,19.8386,19.8263,0,0,0,0,25002,6.38118e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.4,3.28551,200224,0.523637,30.0022,2.50793,-0.00262164,2.89956,2.40436,0.000472029,2.4219,15.7227,0.00291622,-1.86668,0.00339493,45.0023,35.0032,10000.5,983.715,1220.41,30.0028,0.101656,6.38118e+06,0.000104735,0.78966,0.05,136071,81640.4,40.8407,0,0,0,0.0409966,2.37943,3,-2.62057,-2,2.73321,0,0,0,0,0,0,0,0,0,0,-0.0010481,0.000150671,-0.000634094,9.69251,-4.31633,5.09521,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00276473,-9.21553,0.0108724,0,0.740106,0,-0.00268708,-8.92917,0.00968379,-8.93185,-8.92648,0,0,0,0,25002,6.38118e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.6,3.25946,197052,0.52366,30.0035,2.21289,-0.00126776,2.69754,2.16175,0.000613279,2.17045,15.8222,0.00918702,-1.22311,0.00382689,45.0033,35.0047,10000.8,975.912,1212.91,30.0043,0.0482432,6.38118e+06,0.000223975,0.617039,0.05,136069,81637.7,39.912,0,0,0,0.0412517,2.53268,3,-2.46732,-2,2.72096,0,0,0,0,0,0,0,0,0,0,-0.00104847,0.000150865,-0.000633573,9.69461,-4.30663,5.09423,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00582099,-0.320232,0.0152188,0,0.779008,0,-0.00565158,-0.388509,0.0145524,-0.394161,-0.382858,0,0,0,0,25002,6.38118e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.8,3.23379,193959,0.523685,30.0049,1.98432,0.000928021,2.57005,2.00473,0.000716436,2.00108,15.9213,0.012551,-0.991559,0.00414986,45.0044,35.0062,10000.8,968.229,1205.52,30.0057,-0.0248117,6.38118e+06,0.000311126,0.347569,0.05,136066,81635.1,39.0962,0,0,0,0.0413622,2.78949,3,-2.21051,-2,2.70636,0,0,0,0,0,0,0,0,0,0,-0.00104873,0.000151075,-0.000633154,9.6969,-4.29526,5.09361,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00753472,-5.40492,0.0185543,0,0.838923,0,-0.00735092,-5.07692,0.0181477,-5.08428,-5.06957,0,0,0,0,25002,6.38118e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,3.20847,190940,0.52371,30.0064,1.82559,0.00367104,2.51719,1.94034,0.000793072,1.92024,16.0203,0.0146655,-0.602248,0.00437538,45.0055,35.0077,10000.6,960.653,1198.23,30.0071,-0.119623,6.38118e+06,0.000362632,0.271984,0.05,136064,81632.6,38.3956,0,0,0,0.0413149,2.85897,3,-2.14103,-2,2.68918,0,0,0,0,0,0,0,0,0,0,-0.0010489,0.000151302,-0.00063284,9.69943,-4.28223,5.0933,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00866934,-4.82387,0.0209027,0,0.92462,0,-0.00853251,-4.80693,0.0206164,-4.81546,-4.7984,0,0,0,0,25002,6.38118e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.2,3.18347,187992,0.523736,30.0079,1.7319,0.00677242,2.51831,1.94536,0.000854023,1.90775,16.1191,0.016115,-0.321617,0.00454018,45.0065,35.0092,10000,953.177,1191.05,30.0086,-0.218435,6.38117e+06,0.000395573,0.260803,0.05,136061,81630.1,37.7815,0,0,0,0.04115,2.86884,3,-2.13116,-2,2.67015,0,0,0,0,0,0,0,0,0,0,-0.00104898,0.000151547,-0.000632625,9.70222,-4.26754,5.09328,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00949086,-6.24471,0.0226894,0,1.02096,0,-0.00938863,-6.08054,0.0224635,-6.08993,-6.07116,0,0,0,0,25002,6.38117e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.4,3.16061,185326,0.523762,30.0094,1.69488,0.0101274,2.45332,2.00444,0.000906982,1.9495,16.2103,0.0171968,-0.0480708,0.00467081,45.0075,35.0107,9999.12,946.431,1184.57,30.01,-0.314045,6.38117e+06,0.000418188,0.323862,0.305258,136053,81622.4,1220.84,0,0,0,0.0409055,2.80817,3,-2.19183,-2,2.65116,0,0,0,0,0,0,0,0,0,0,-0.00104897,0.000151806,-0.000632494,9.70528,-4.25125,5.09353,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0101192,-6.67233,0.0241633,0,1.12219,0,-0.0100399,-6.612,0.0239696,-6.62204,-6.60196,0,0,0,0,25002,6.38117e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.6,3.14491,183522,0.523789,30.0109,1.70726,0.0136839,2.39581,2.0993,0.000956163,2.02918,16.2733,0.01814,0.171613,0.00478657,45.0086,35.0122,9997.95,941.839,1180.17,30.0114,-0.395751,6.38117e+06,0.0004369,0.427409,0.501415,136033,81602.2,2468.53,0,0,0,0.0406441,2.70981,3,-2.29019,-2,2.6367,0,0,0,0,0,0,0,0,0,0,-0.00104888,0.000152078,-0.000632436,9.70862,-4.23374,5.094,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0106397,-7.30514,0.0254926,0,1.21907,0,-0.0105701,-7.23359,0.0253095,-7.24416,-7.22302,0,0,0,0,25002,6.38117e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.8,3.13446,182343,0.523817,30.0125,1.76057,0.0174288,2.41046,2.21825,0.00100557,2.13575,16.3152,0.0190815,0.354782,0.00490079,45.0096,35.0136,9996.54,938.791,1177.24,30.0129,-0.460467,6.38117e+06,0.000454908,0.563633,0.617044,136006,81574.9,3293.23,0,0,0,0.0403738,2.5807,3,-2.4193,-2,2.62562,0,0,0,0,0,0,0,0,0,0,-0.00104874,0.00015236,-0.000632441,9.71223,-4.21549,5.09461,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0111282,-7.51069,0.0268159,0,1.30801,0,-0.0110597,-7.49615,0.026627,-7.50721,-7.48509,0,0,0,0,25002,6.38117e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
