1 input_SAM_RF_AC_Radar_#1_#2_#3.asc ' SAM2 vs AC2 ' Mar  6 2026 15:53:19
  0  0 93
time            lconv           msl_time        mach            pdynmc          
psiblx          thtblx          phiblx          alppx           phipx           
alphax          betax           ppx             qqx             rrx             
SBEL1           SBEL2           SBEL3           dvbe            alt             
psivlx          thtvlx          anx             ayx             mass            
thrust          xcg             ai11            ai33            cyb             
clnb            cna             clma            stmarg_pitch    gavail          
gmax            stmarg_yaw      dbtk            epy             dta             
epz             thtpbx          psipbx          sigdy           sigdz           
thtvlcx         psivlcx         phiblcx         ancomx          alcomx          
gnav_comp       allx            annx            gn              dcvel           
psiflx          ip_sltrange     dvtbc           wacl            zacl            
pacl            wrcl            zrate           wnlagr          ancomx_test     
alcomx_test     dpx             dqx             drx             delx1           
delx2           delx3           delx4           miss            MISS1           
MISS2           MISS3           mode            dbt             psiptx          
thtptx          aztbx           eltbx           dab             ddab            
snr_db          onax            epsic           ethtc           psisb           
thtsb           lamdqb          lamdrb          
135.4           0               0.032           0.0464459       152.999         
20              50              0.000810285     0.743397        2.79407e-05     
0.743397        -2.54204e-07    8.60259e-05     7.93508e-05     3.09066e-06     
0.324088        0.117959        -0.405511       15.8009         0.405511        
20              49.2335         0.000520657     -2.13902e-07    299.68          
960.148         2.8984          2.8968          439.04          -15.2993        
-3.68472        15.7152         1.5127          -0.0962566      0.0359162       
0.0364374       -0.240842       18433.8         0               1               
0               0               0               0               0               
49.2755         20.0163         -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               1.91349         0.0249314       0               0               
0               0.00192127      0.000761402     -0.00106686     -0.000854411    
-0.00115987     -0.00298813     -0.00268267     0               0               
0               0               120021          18433.8         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
135.5           0               0.132           0.0466868       154.569         
20              50.0001         2.33816e-05     3.01277         -1.09769e-05    
3.01277         -5.76927e-07    0.000348266     0.00110303      1.28201e-05     
1.3134          0.478038        -1.57829        15.893          1.57829         
20              46.9657         0.00214035      -1.99075e-07    298.68          
3960.59         2.8934          2.8868          436.04          -15.2593        
-3.91588        15.7155         1.20157         -0.0764575      0.0348009       
0.036942        -0.256623       18437.5         0               1               
0               0               0               0               0               
47.0086         20.0157         -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               1.93049         0.0251405       0               0               
0               0.00176414      0.010348        -0.000977137    -0.000787002    
0.00858383      -0.00274128     -0.0121121      0               0               
0               0               120021          18437.5         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
135.6           0               0.232           0.0499533       176.931         
20              50.0002         7.20516e-05     4.93833         2.43368e-05     
4.93833         2.095e-06       0.000606204     0.0028793       2.22122e-05     
2.38274         0.867245        -2.7547         17.0146         2.7547          
20              45.0455         0.00403226      -1.9839e-07     297.68          
6961.03         2.8884          2.8768          433.04          -15.2303        
-4.11518        15.7189         0.930239        -0.0591795      0.0385133       
0.042545        -0.270197       18441.2         0               1               
0               0               0               0               0               
45.085          20.0138         -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               2.08198         0.0269911       0               0               
0               0.00164081      0.0258547       -0.000834329    -0.000806479    
0.0242138       -0.00247514     -0.0274955      0               0               
0               0               120021          18441.2         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
135.7           0               0.332           0.0562356       224.198         
20              50.0006         0.000149056     6.26882         8.52477e-05     
6.26882         9.30848e-06     0.000898256     0.00502466      3.16875e-05     
3.59313         1.30779         -4.01242        19.1623         4.01242         
20              43.7217         0.00651295      -2.10314e-07    296.68          
9961.51         2.8834          2.8668          430.04          -15.2186        
-4.22569        15.7256         0.698392        -0.0444112      0.0478676       
0.0543775       -0.277666       18444.7         0               1               
0               0               0               0               0               
43.7554         20.011          -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               2.3723          0.0304955       0               0               
0               0.00154413      0.0406397       -0.00066591     -0.000878222    
0.0390956       -0.00221004     -0.0421838      0               0               
0               0               120021          18444.7         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
135.8           0               0.432           0.0655241       304.325         
20              50.0012         0.000260038     6.98901         0.000175792     
6.98901         2.13902e-05     0.00126709      0.00721264      4.14458e-05     
5.00597         1.82202         -5.42971        22.3329         5.42971         
20              43.0077         0.00989794      -2.37167e-07    295.68          
12962           2.8784          2.8568          427.04          -15.2245        
-4.24275        15.7353         0.505712        -0.0321386      0.064744        
0.0746351       -0.278679       18448           0               1               
0               0               0               0               0               
43.0355         20.008          -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               2.80904         0.0356683       0               0               
0               0.00146234      0.0504686       -0.000502038    -0.000960305    
0.0490063       -0.00196438     -0.0519309      0               0               
0               0               120021          18448           0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
135.9           0               0.532           0.0778216       429.192         
20              50.0021         0.000415296     7.23016         0.00030483      
7.23016         3.83645e-05     0.0017654       0.00910668      5.14581e-05     
6.68303         2.43242         -7.08545        26.5271         7.08545         
20              42.7713         0.0145029       -2.87902e-07    294.68          
15962.7         2.8734          2.8468          424.04          -15.2447        
-4.19473        15.8788         0.41871         -0.0263691      0.0921985       
0.10669         -0.27516        18451           0               1               
0               0               0               0               0               
42.7944         20.0052         -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               3.40362         0.0428856       0               0               
0               0.00138205      0.0538636       -0.000361312    -0.00102073     
0.0524816       -0.00174336     -0.0552456      0               0               
0               0               120021          18451           0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
136             0               0.632           0.0931429       614.68          
20              50.003          0.000630883     7.15466         0.000487209     
7.15466         6.06809e-05     0.00245901      0.010393        6.14701e-05     
8.68641         3.1616          -9.0591         31.7501         9.0591          
20              42.8503         0.0206439       -3.84239e-07    293.68          
18963.4         2.8684          2.8368          421.04          -15.2752        
-4.11741        15.8544         0.292497        -0.018449       0.134615        
0.155244        -0.269549       18453.6         0               1               
0               0               0               0               0               
42.87           20.0027         -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               4.17137         0.0514122       0               0               
0               0.00129324      0.0514657       -0.000250566    -0.00104267     
0.0501724       -0.0015438      -0.0527589      0               0               
0               0               120021          18453.5         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
136.1           0               0.732           0.11151         880.756         
20              50.0041         0.000929921     6.89537         0.000745188     
6.89537         8.94648e-05     0.00342651      0.0108997       7.10179e-05     
11.0785         4.03226         -11.4308        38.0091         11.4308         
20              43.1119         0.028636        -5.70184e-07    292.68          
21964.3         2.8634          2.8268          418.04          -15.3126        
-4.04036        15.7838         0.16186         -0.0102548      0.197901        
0.22652         -0.263858       18455.6         0               1               
0               0               0               0               0               
43.1295         20.0006         -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               5.13151         0.0614687       0.0539628       0               
0               0.00119103      0.0451152       -0.000168706    -0.00102232     
0.0439242       -0.00135974     -0.0463062      0               0               
0               0               120021          18455.6         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
136.2           0               0.832           0.132949        1251.55         
20.0001         50.0052         0.00134373      6.54276         0.00110972      
6.54276         0.000126447     0.00475513      0.0107671       7.94538e-05     
13.9222         5.06726         -14.2814        45.3126         14.2814         
20              43.4662         0.0387901       -9.28017e-07    291.68          
24965.4         2.8584          2.8168          415.04          -15.3547        
-3.98386        15.8063         0.125578        -0.00794479     0.289731        
0.328507        -0.259455       18457           0               1               
0               0               0               0               0               
43.4825         19.9988         -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               6.3071          0.07362         0.0743975       0               
0               0.00107531      0.0373381       -0.000111598    -0.000963716    
0.0362628       -0.00118691     -0.0384134      0               0               
0               0               120021          18456.9         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
136.3           0               0.932           0.157484        1755.42         
20.0001         50.0063         0.00191247      6.1523          0.0016212       
6.1523          0.000173747     0.00653351      0.0106012       8.599e-05       
17.2803         6.28953         -17.6925        53.6691         17.6925         
20              43.8579         0.0514108       -1.6016e-06     290.68          
27966.7         2.8534          2.8068          412.04          -15.4001        
-3.96047        15.8322         0.128696        -0.00812877     0.419836        
0.471237        -0.257172       18457.6         0               1               
0               0               0               0               0               
43.8734         19.9974         -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               7.72505         0.0876177       0.0877112       0               
0               0.000949598     0.0309138       -7.44872e-05    -0.000875111    
0.0299642       -0.00102409     -0.0318634      0               0               
0               0               120021          18457.6         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
136.4           0               1.032           0.185004        2421.36         
20.0001         50.0074         0.00268487      5.76005         0.00232944      
5.76005         0.000233788     0.00884281      0.0115216       8.97153e-05     
21.216          7.72198         -21.7457        63.0368         21.7457         
20              44.251          0.0667439       -2.82588e-06    289.68          
30052.7         2.8484          2.7968          409.04          -15.4476        
-3.97646        15.8612         0.169548        -0.0106895      0.599323        
0.666055        -0.257415       18457.5         0               1               
0               0               0               0               0               
44.2663         19.9962         -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               9.4076          0.103429        0.0881729       0               
0               0.000818487     0.0283808       -5.3031e-05     -0.000765455    
0.0275623       -0.000871518    -0.0291993      0               0               
0               0               120021          18457.4         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
136.5           0               1.132           0.213464        3221.83         
20.0001         50.0086         0.0034396       5.43299         0.00301581      
5.43299         0.000285541     0.00225875      0.0144759       8.99226e-05     
25.7707         9.37977         -26.4964        72.7161         26.4964         
20              44.5786         0.0842355       -4.52838e-06    288.68          
30193.7         2.8434          2.7868          406.04          -15.494         
-4.018          15.8911         0.221429        -0.0139341      0.824169        
0.908369        -0.259326       18456.4         0               1               
0               0               0               0               0               
44.5942         19.9953         0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               11.2522         0.119919        0.0737463       0               
0               -0.00270301     0.0307062       -4.48634e-05    0.00274788      
0.0334092       0.00265815      -0.0280032      0               0               
0               0               120021          18456.3         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
136.6           0               1.232           0.242177        4144.16         
20.0001         50.0103         0.00315981      5.16553         0.0026687       
5.16553         0.000240272     -0.00767528     0.0194388       8.92169e-05     
30.9515         11.2654         -31.956         82.4797         31.956          
20              44.8472         0.103618        -4.95239e-06    287.68          
30335           2.8384          2.7768          403.04          -15.5387        
-4.07412        15.9214         0.275338        -0.0172936      1.09377         
1.19729         -0.262192       18454.4         0               1               
0               0               0               0               0               
44.8631         19.9946         0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               13.2221         0.136703        0.0182189       0               
0               -0.00146699     0.0362336       -4.03316e-05    0.00150732      
0.0377005       0.00142666      -0.0347666      0               0               
0               0               120021          18454.4         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
136.7           0               1.332           0.271141        5190.91         
20.0001         50.0126         0.00289245      4.93862         0.00233222      
4.93862         0.000200777     0.00576461      0.0260988       8.95765e-05     
36.762          13.3803         -38.1322        92.3268         38.1322         
20.0001         45.0761         0.124835        -5.20622e-06    286.68          
30476.5         2.8334          2.7668          400.04          -15.5821        
-4.14051        15.9519         0.331285        -0.0207678      1.41176         
1.53641         -0.265723       18451.6         0               1               
0               0               0               0               0               
45.092          19.994          -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               15.3205         0.15378         0               0               
0               0.00181743      0.043403        -3.20277e-05    -0.0017854      
0.0415856       -0.00184946     -0.0452204      0               0               
0               0               120021          18451.5         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
136.8           0               1.432           0.300354        6364.5          
20.0001         50.0156         0.0030236       4.74039         0.00239351      
4.74039         0.000197802     -0.00855695     0.0340698       8.75091e-05     
43.2059         15.7257         -45.0329        102.256         45.0329         
20.0001         45.277          0.147816        -6.32668e-06    285.68          
30618.3         2.8284          2.7568          397.04          -15.6245        
-4.21443        15.9827         0.389243        -0.0243541      1.78191         
1.92941         -0.269733       18447.7         0               1               
0               0               0               0               0               
45.2931         19.9936         0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               17.5505         0.17115         0               0               
0               -0.00168294     0.0511321       -3.1053e-05     0.00171399      
0.0528151       0.00165188      -0.0494492      0               0               
0               0               120021          18447.6         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
136.9           0               1.532           0.329813        7667.26         
20.0001         50.0194         0.00317253      4.56307         0.00247289      
4.56307         0.000196734     -0.00114991     0.0429883       8.55953e-05     
50.2863         18.3028         -52.6658        112.267         52.6658         
20.0001         45.458          0.172475        -7.59448e-06    284.68          
30760.3         2.8234          2.7468          394.04          -15.666         
-4.29408        16.0137         0.449144        -0.0280475      2.20814         
2.38011         -0.274101       18443           0               1               
0               0               0               0               0               
45.4741         19.9932         0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               19.9152         0.18881         0               0               
0               -0.00247831     0.0587511       -2.791e-05      0.00250622      
0.0612294       0.0024504       -0.0562727      0               0               
0               0               120021          18442.9         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
137             0               1.632           0.359515        9101.38         
20.0002         50.0242         0.00312735      4.40138         0.0023606       
4.40138         0.00018116      0.00634954      0.0525709       8.36823e-05     
58.0066         21.1127         -61.0389        122.358         61.0389         
20.0001         45.6243         0.198716        -8.34877e-06    283.68          
30902.7         2.8184          2.7368          391.04          -15.7068        
-4.3782         16.045          0.510919        -0.0318429      2.69444         
2.89243         -0.278745       18437.3         0               1               
0               0               0               0               0               
45.6404         19.9929         0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               22.4176         0.206759        0               0               
0               -0.00348814     0.0659108       -2.51665e-05    0.0035133       
0.0693989       0.00346297      -0.0624226      0               0               
0               0               120021          18437.2         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
137.1           0               1.732           0.389455        10668.9         
20.0002         50.0299         0.00305318      4.25165         0.00222124      
4.25165         0.000164676     0.0125109       0.0626162       8.16525e-05     
66.3696         24.1566         -70.16          132.527         70.16           
20.0001         45.7797         0.22643         -8.96156e-06    282.68          
31045.3         2.8134          2.7268          388.04          -15.7469        
-4.46589        16.0765         0.574506        -0.0357357      3.24496         
3.47038         -0.283604       18430.7         0               1               
0               0               0               0               0               
45.7958         19.9926         0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               25.0604         0.224993        0               0               
0               -0.00437215     0.0724679       -2.31318e-05    0.00439529      
0.0768401       0.00434902      -0.0680958      0               0               
0               0               120021          18430.5         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
137.2           0               1.832           0.419629        12371.6         
20.0002         50.0367         0.00303251      4.11122         0.0021371       
4.11122         0.000153214     0.0152854       0.0729841       7.95313e-05     
75.378          27.4354         -80.0369        142.771         80.0369         
20.0001         45.9268         0.2555          -9.73472e-06    281.68          
31188.2         2.8084          2.7168          385.04          -15.7864        
-4.55648        16.1083         0.639828        -0.0397204      3.86388         
4.11805         -0.288634       18423.1         0               1               
0               0               0               0               0               
45.9429         19.9924         0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               27.8465         0.243511        0               0               
0               -0.000391542    0.0783899       -2.15953e-05    0.000413138     
0.0787815       0.000369947     -0.0779984      0               0               
0               0               120021          18422.9         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
137.3           0               1.932           0.450031        14211.2         
20.0002         50.0445         0.00302648      3.9782          0.00206957      
3.9782          0.00014358      0.0181962       0.0835699       7.7467e-05      
85.0342         30.95           -90.6774        153.09          90.6774         
20.0001         46.0676         0.285796        -1.05447e-05    280.68          
31331.4         2.8034          2.7068          382.04          -15.8252        
-4.64945        16.1403         0.706793        -0.0437906      4.5555          
4.83959         -0.2938         18414.5         0               1               
0               0               0               0               0               
46.0837         19.9922         0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               30.7783         0.262307        0               0               
0               -0.000468852    0.0836923       -2.00803e-05    0.000488932     
